name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2023-04-09,61.6,40,51,61.6,36.1,49.9,29.4,47.1,0,0,0,,0,0,8.1,9.9,82.9,1031.5,33.9,9.9,246.6,21.4,9,10,2023-04-09T06:40:48,2023-04-09T19:39:21,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-10,64.1,41.9,53.3,64.1,40,52.4,30.8,44.8,0,0,0,,0,0,6.9,10.7,185.7,1031.4,2,9.9,234.4,20.1,9,10,2023-04-10T06:39:18,2023-04-10T19:40:19,0.66,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-11,77.8,44.5,60.3,77.8,40.4,59.4,34,41.8,0,0,0,,0,0,20.8,11.9,210.1,1023.6,36.5,9.9,219.5,19,9,10,2023-04-11T06:37:48,2023-04-11T19:41:17,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-12,84.6,55.5,69.6,81.9,55.5,68.9,44,44.1,0,0,0,,0,0,27.7,16.7,245.4,1015.8,47.3,9.9,216.8,18.7,8,10,2023-04-12T06:36:19,2023-04-12T19:42:15,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-13,87.8,55.4,71.4,84.3,55.4,70.5,47.2,47,0,0,0,,0,0,19.7,11.1,199.9,1014,6.4,9.9,232.3,20.1,9,10,2023-04-13T06:34:51,2023-04-13T19:43:13,0.75,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-14,80.7,59.5,68.5,80.4,59.5,68.5,54.9,63.4,0,0,0,,0,0,24.2,14.5,188.9,1012.7,85.7,9.8,130.4,11.2,6,10,2023-04-14T06:33:23,2023-04-14T19:44:10,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-15,78,64.7,68.5,78,64.7,68.5,63,83.6,0.356,100,20.83,rain,0,0,11.4,13.5,174.6,1011.2,87.7,9.6,139.3,12.2,7,10,2023-04-15T06:31:56,2023-04-15T19:45:08,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-16,80,59.7,70.4,80.5,59.7,70.4,60.8,74.1,0,0,0,,0,0,17.2,13.8,178.6,1008.4,77.5,9.8,134,11.6,6,10,2023-04-16T06:30:29,2023-04-16T19:46:06,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-17,70.9,56.1,62.4,70.9,56.1,62.4,40.3,46.3,0.011,100,8.33,rain,0,0,33,21.5,283.3,1005.3,81.1,9.9,159.5,13.6,8,10,2023-04-17T06:29:04,2023-04-17T19:47:04,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-18,74,48,60.8,74,45.3,60.6,30.1,35.7,0,0,0,,0,0,31.2,16.7,285.7,1009,21.7,9.9,223.5,19.5,9,10,2023-04-18T06:27:39,2023-04-18T19:48:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
